        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
#              s             mB             ?C              %            m/s              ?              m
#---------------------------------------------------------------------------------------------------------
           97,0         903,91         +11,98          63,28           14,0            315          410,3
           98,0         903,51         +11,94          63,84           14,0            315          414,1
           99,0         903,11         +11,90          63,70           14,1            315          417,8
          100,0         902,71         +11,86          63,72           14,0            315          421,5
          101,0         902,31         +11,84          63,38           13,9            315          425,2
          102,0         901,92         +11,81          63,87           13,9            315          428,9
          103,0         901,52         +11,77          64,09           13,8            316          432,5
          104,0         901,13         +11,75          64,64           13,9            316          436,1
          105,0         900,75         +11,66          65,23           14,0            317          439,7
          106,0         900,36         +11,58          65,66           14,1            316          443,3
          107,0         899,97         +11,52          66,13           14,1            316          446,9
          108,0         899,58         +11,47          65,93           14,0            316          450,6
          109,0         899,19         +11,41          65,68           14,0            316          454,2
          110,0         898,80         +11,38          66,28           14,0            317          457,9
          111,0         898,40         +11,35          65,97           14,2            318          461,5
          112,0         898,01         +11,36          65,95           14,4            318          465,1
          113,0         897,62         +11,32          65,98           14,6            318          468,8
          114,0         897,21         +11,24          66,76           14,7            318          472,6
          115,0         896,81         +11,20          66,50           14,7            318          476,4
          116,0         896,40         +11,18          66,33           14,6            317          480,2
          117,0         895,99         +11,15          66,97           14,5            317          484,0
          118,0         895,58         +11,12          67,30           14,5            318          487,8
          119,0         895,18         +11,11          66,69           14,6            318          491,6
          120,0         894,77         +11,14          66,74           14,6            318          495,4
          121,0         894,36         +11,09          66,06           14,7            318          499,2
          122,0         893,95         +11,06          66,81           14,7            318          503,0
          123,0         893,54         +10,96          67,41           14,7            319          506,8
          124,0         893,13         +10,87          67,06           14,7            319          510,7
          125,0         892,72         +10,85          66,86           14,8            320          514,5
          126,0         892,31         +10,84          67,04           15,0            320          518,4
          127,0         891,89         +10,83          67,15           15,1            319          522,2
          128,0         891,49         +10,80          66,57           15,2            319          526,0
          129,0         891,08         +10,79          66,90           15,2            319          529,8
          130,0         890,67         +10,74          67,10           15,2            319          533,7
          131,0         890,26         +10,72          67,57           15,1            319          537,5
          132,0         889,85         +10,69          67,41           15,2            320          541,4
          133,0         889,44         +10,68          67,25           15,3            321          545,2
          134,0         889,03         +10,63          68,00           15,5            321          549,1
          135,0         888,62         +10,59          67,62           15,7            321          552,9
          136,0         888,21         +10,54          67,98           15,8            321          556,7
          137,0         887,81         +10,50          68,07           15,8            320          560,5
          138,0         887,40         +10,57          66,09           15,8            320          564,3
          139,0         887,00         +10,66          65,36           15,8            320          568,1
          140,0         886,60         +10,69          64,91           15,8            320          571,9
          141,0         886,21         +10,67          64,18           15,9            320          575,6
          142,0         885,82         +10,64          64,61           16,0            320          579,2
          143,0         885,42         +10,67          65,44           16,0            320          583,0
          144,0         885,03         +10,66          66,53           16,1            321          586,6
          145,0         884,64         +10,63          68,32           16,2            321          590,3
          146,0         884,25         +10,60          67,95           16,2            321          594,0
          147,0         883,85         +10,60          67,66           16,3            320          597,8
