        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL
#            s             mB             ?C              %            m/s              ?              m
# ---------------------------------------------------------------------------------------------------------
            0,0         949,11         +21,50          45,20            5,0            180            0,0
            1,0         948,61         +20,72          47,23            6,7            216            4,6
            2,0         948,01         +20,29          48,90            6,8            215           10,0
            3,0         947,39         +20,13          50,00            6,8            215           15,7
            4,0         946,79         +19,88          50,47            6,8            215           21,2
            5,0         946,18         +19,69          51,03            6,7            215           26,7
            6,0         945,58         +19,58          51,54            6,7            214           32,2
            7,0         944,99         +19,31          52,04            6,8            214           37,5
            8,0         944,42         +19,05          52,67            6,8            213           42,7
            9,0         943,85         +18,99          53,09            6,8            213           47,9
           10,0         943,29         +18,96          53,23            6,8            213           53,0
           11,0         942,75         +18,94          53,24            6,8            212           57,9
           12,0         942,18         +18,91          53,36            6,9            211           63,1
           13,0         941,62         +18,83          53,46            6,9            211           68,2
           14,0         941,05         +18,66          53,68            6,8            212           73,4
           15,0         940,49         +18,58          54,05            6,8            212           78,5
           16,0         939,94         +18,49          54,40            6,9            212           83,5
           17,0         939,40         +18,38          54,65            6,9            212           88,4
           18,0         938,87         +18,27          55,07            7,0            213           93,3
           19,0         938,33         +18,19          55,25            7,0            214           98,2
           20,0         937,81         +18,15          55,41            7,0            214          103,0
           21,0         937,29         +18,12          55,44            7,3            214          107,8
           22,0         936,77         +18,08          55,42            7,4            214          112,5
           23,0         936,25         +18,08          55,47            7,6            214          117,2
           24,0         935,75         +18,03          55,69            7,6            213          121,8
           25,0         935,26         +17,96          55,85            7,8            212          126,3
           26,0         934,76         +17,90          55,92            7,9            212          130,8
           27,0         934,27         +17,86          56,09            7,9            212          135,4
           28,0         933,77         +17,81          56,05            7,7            212          139,9
           29,0         933,27         +17,78          56,11            7,7            212          144,5
           30,0         932,77         +17,76          56,25            7,8            212          149,1
           31,0         932,27         +17,70          56,38            7,8            212          153,7
           32,0         931,76         +17,62          56,75            7,7            213          158,4
           33,0         931,24         +17,56          57,05            7,6            214          163,1
           34,0         930,72         +17,51          57,05            7,7            214          167,9
           35,0         930,19         +17,48          57,16            7,8            214          172,8
           36,0         929,66         +17,48          57,08            7,8            213          177,7
           37,0         929,13         +17,46          57,31            7,7            214          182,5
           38,0         928,60         +17,42          57,40            7,5            215          187,4
           39,0         928,06         +17,37          57,55            7,5            216          192,3
           40,0         927,53         +17,31          57,71            7,4            216          197,2
           41,0         927,00         +17,27          57,76            7,5            216          202,1
           42,0         926,46         +17,21          57,90            7,4            216          207,1
           43,0         925,92         +17,13          58,08            7,4            216          212,1
           44,0         925,37         +17,05          58,31            7,4            216          217,1
           45,0         924,82         +16,99          58,63            7,5            216          222,2
           46,0         924,26         +16,93          58,76            7,5            217          227,4
           47,0         923,70         +16,88          58,88            7,6            217          232,5
           48,0         923,14         +16,81          58,88            7,7            218          237,7
           49,0         922,58         +16,77          58,98            7,7            219          242,9
           50,0         922,01         +16,76          59,08            7,7            220          248,1
           51,0         921,45         +16,73          59,07            7,7            220          253,4
